UMMV,MINSK,28.048775,53.539758
UERR,MIRNY,111.829787,62.401559
HCSM,MOGADISHU,49.049558,6.523368
CZQM,MONCTON,-62.855531,45.434592
SUEO,MONTEVIDEO,-33.434463,-36.171562
CZUL,MONTREAL,-71.115731,55.484606
UUWV,MOSCOW,38.69601,54.828574
EDMM,MUENCHEN,11.852707,49.622695
VABF,MUMBAI,67.270133,11.665508
ULMM,MURMANSK,35.813204,68.246749
ULMM,MURMANSK OCEANIC EAST,90.263974,83.005164
ULMM,MURMANSK OCEANIC WEST,-174.945239,88.40638
OOMM,MUSCAT,57.603492,21.090834
FTTT,N DJAMENA,17.64381,15.134456
NFFF,NADI EAST,172.473502,-13.517454
NFFF,NADI WEST,-176.984728,-11.6947
HKNA,NAIROBI,38.713265,-0.281876
ANAU,NAURU,165.454674,-2.782026
KZNY,NEW YORK,-72.926918,38.706517
KZWY,NEW YORK OCEANIC EAST,-50.751277,32.034451
KZWY,NEW YORK OCEANIC WEST,-66.817021,30.392491
NZZC,NEW ZEALAND,173.168421,-40.223106
DRRR,NIAMEY,2.978376,16.563086
LCCC,NICOSIA,32.689183,34.37881
UNNT,NOVOSIBIRSK,81.057975,55.661247
UTNR,NUKUS,59.433196,43.18461
UACN,NUR SULTAN,69.470506,50.808199
BGGL,NUUK,-29.074115,78.882118
KZOA,OAKLAND,-122.296031,38.212368
KZAK,OAKLAND OCEANIC EAST,160.169899,18.707992
KZAK,OAKLAND OCEANIC EAST,-152.254978,25.186884
UKOV,ODESA,30.862442,46.608914
UCFO,OSH,73.165071,40.853187
MPZL,PANAMA,-80.248699,10.050829
SMPM,PARAMARIBO,-55.711692,5.652464
LFFF,PARIS,2.481132,48.738973
UHPP,PETROPAVLOVSK KAMCHATSKY,162.112478,55.557821
UHPP,PETROPAVLOVSK KAMCHATSKYW,-179.252649,60.944838
VDPP,PHNOM PENH,104.69111,12.429121
TTZP,PIARCO,-50.787867,14.468768
ENOR,POLARIS,11.570266,64.333984
MTEG,PORT AU PRINCE,-72.930615,18.666784
AYPM,PORT MORESBY,149.663583,-5.330706
LKAA,PRAHA,15.333718,49.739076
SCTZ,PUERTO MONTT,-80.853189,-42.742157
SCCZ,PUNTA ARENAS,-72.847351,-70.724078
ZKKP,PYONGYANG,129.377504,40.001871
SBRE,RECIFE,-39.803248,-9.329294
LFEE,REIMS,6.139769,47.989376
SARR,RESISTENCIA,-58.965962,-27.217355
BIRD,REYKJAVIK,-15.202048,66.286842
EVRR,RIGA,23.739725,56.965885
GLRB,ROBERTS,-11.139612,7.56508
LIRR,ROMA,13.05479,39.524699
URRV,ROSTOV-NA-DONU,43.458394,45.949937
GVSC,SAL OCEANIC,-26.659722,18.140694
KZLC,SALT LAKE,-111.707141,43.847627
UWWW,SAMARA,51.207442,53.489017
UTSD,SAMARKAND,65.557345,39.559041
TJZS,SAN JUAN,-65.224495,18.639235
OYSC,SANA A,51.449494,14.972052
ULLL,SANKT-PETERBURG,32.24266,61.246576
LPPO,SANTA MARIA OCEANIC,-29.360083,34.202718
SCEZ,SANTIAGO,-80.172166,-33.450464
MDCS,SANTO DOMINGO,-69.985303,18.006853
ZJSA,SANYA,110.869814,17.68081
LQSB,SARAJEVO,17.787148,44.168195
EGPX,SCOTTISH,-3.45041,57.666117
KZSE,SEATTLE,-121.833894,45.302237
FSSS,SEYCHELLES,53.173608,-2.362302
ZSHA,SHANGHAI,119.392325,31.361779
EISN,SHANNON,-10.373696,52.808864
EGGX,SHANWICK OCEANIC,-19.975618,52.828306
ZYSH,SHENYANG,123.991573,45.989353
UAII,SHYMKENT,67.135724,44.141252
UKFV,SIMFEROPOL,33.903786,44.875249
WSJC,SINGAPORE,108.535486,4.899493
LWSS,SKOPJE,21.701092,41.591966
LBSR,SOFIA,26.165807,42.798612
ESAA,SWEDEN,17.080057,61.935783
LSAS,SWITZERLAND,8.24006,46.830274
UUYY,SYKTYVKAR,57.203203,65.520482
NTTT,TAHITI,-137.773658,-13.93132
RCAA,TAIPEI,121.237153,23.95081
EETT,TALLINN,24.634198,58.733797
UTTR,TASHKENT,67.565123,41.299862
UTTR,TASHKENT,69.9788881115,39.8417497986
UGGG,TBILISI,42.972278,42.222223
OIIX,TEHRAN,54.20588,32.330996
LLLL,TEL AVIV,34.821852,31.669172
LAAA,TIRANA,19.915689,41.104447
CZYZ,TORONTO,-81.478174,47.541339
HLLL,TRIPOLI,17.921692,27.822786
DTTC,TUNIS,9.778611,34.825283
UTAV,TURKMENABAT,63.042179,37.905798
UTAK,TURKMENBASHI,53.782018,39.879824
USTV,TYUMEN ROSCHINO,70.320447,61.2866
WAAZ,UJUNG PANDANG,125.467509,-3.365856
ZMUB,ULAN BATOR,103.081954,46.83565
ZWUQ,URUMQI,84.714025,40.238656
CZVR,VANCOUVER,-125.749854,52.234064
VLVT,VIENTIANE,103.764101,18.501736
EYVL,VILNIUS,23.299649,55.414541
ULWW,VOLOGDA,40.302543,59.889836
EPWW,WARSZAWA,19.161727,52.357837
KZDC,WASHINGTON,-77.322711,37.037312
LOVV,WIEN,14.135578,47.589935
FYWH,WINDHOEK,15.412198,-22.371241
CZWG,WINNIPEG,-93.192039,55.171176
ZHWH,WUHAN,113.010389,32.404614
UEEE,YAKUTSK,135.884604,68.027487
VYYF,YANGON,95.961007,18.472426
USSV,YEKATERINBURG,61.507714,58.377032
UDDD,YEREVAN ZVARTNOTS,44.946644,40.289743
LDZO,ZAGREB,16.110372,44.241607
